X Value ,Y Value
0,88.0
1,88.0
2,88.0
3,88.0
4,88.0
5,88.0
6,88.0
7,88.0
8,88.0
9,78.07000000000001
10,69.94545454545455
11,63.17500000000001
12,57.44615384615386
13,52.5357142857143
14,48.280000000000015
15,44.55625000000002
16,41.27058823529414
17,38.35000000000002
18,35.73684210526318
19,33.385000000000026
20,31.257142857142885
21,29.3227272727273
22,27.556521739130464
23,25.93750000000003
24,24.44800000000003
25,23.073076923076954
26,21.80000000000003
27,20.617857142857172
28,19.517241379310377
29,18.49000000000003
30,17.52903225806455
31,16.628125000000033
32,15.781818181818215
33,15.005882352941208
34,14.274285714285744
35,13.583333333333362
36,12.929729729729758
37,12.310526315789499
38,11.723076923076947
39,11.165000000000024
40,10.634146341463437
41,10.12857142857145
42,9.646511627906996
43,9.186363636363655
44,8.746666666666686
45,8.326086956521756
46,7.9234042553191655
47,7.537500000000016
48,7.167346938775525
49,6.8120000000000145
50,6.470588235294131
51,6.142307692307705
52,5.826415094339635
53,5.522222222222234
54,5.22909090909092
55,4.946428571428582
56,4.673684210526325
57,4.422413793103458
58,4.179661016949162
59,3.945000000000009
60,3.7180327868852547
61,3.4983870967742026
62,3.2857142857142945
63,3.0796875000000083
64,2.8800000000000083
65,2.6863636363636445
66,2.498507462686575
67,2.3161764705882426
68,2.139130434782616
69,1.9671428571428642
70,1.800000000000007
71,1.6375000000000068
72,1.4794520547945271
73,1.3256756756756822
74,1.1760000000000064
75,1.030263157894743
76,0.8883116883116943
77,0.7500000000000059
78,0.6151898734177274
79,0.4837500000000058
80,0.36419753086420326
81,0.2475609756097617
82,0.13373493975904163
83,0.022619047619053017
84,-0.08588235294117116
85,-0.19186046511627386
86,-0.2954022988505696
87,-0.39659090909090405
88,-0.4955056179775232
89,-0.5922222222222173
90,-0.686813186813182
91,-0.7793478260869517
92,-0.8698924731182749
93,-0.9585106382978678
94,-1.0452631578947322
95,-1.1302083333333288
96,-1.2134020618556658
97,-1.2948979591836691
98,-1.3747474747474704
99,-1.4529999999999956
100,-1.5297029702970253
101,-1.6049019607843091
102,-1.6786407766990246
103,-0.7826923076923031
104,0.09619047619048074
105,0.9584905660377403
106,1.8046728971962662
107,2.6351851851851897
108,3.4504587155963344
109,4.250909090909095
110,5.036936936936941
111,5.808928571428575
112,5.688495575221244
113,5.570175438596496
114,5.453913043478266
115,5.339655172413798
116,5.227350427350434
117,5.11694915254238
118,5.008403361344545
119,4.9016666666666735
120,4.79669421487604
121,4.693442622950827
122,4.591869918699195
123,4.491935483870976
124,4.393600000000008
125,4.2968253968254055
126,4.201574803149615
127,4.107812500000009
128,4.015503875969002
129,3.924615384615394
130,3.8351145038168033
131,3.7469696969697064
132,3.6601503759398586
133,3.5746268656716507
134,3.4903703703703792
135,4.147794117647067
136,4.795620437956213
137,5.434057971014501
138,6.063309352517994
139,6.683571428571436
140,7.295035460992915
141,7.89788732394367
142,8.492307692307701
143,9.078472222222231
144,8.971724137931043
145,8.866438356164391
146,8.762585034013613
147,8.66013513513514
148,8.559060402684569
149,8.459333333333339
150,8.360927152317885
151,8.263815789473687
152,8.167973856209153
153,8.073376623376626
